covariate,coef,exp(coef),se(coef),coef lower 95%,coef upper 95%,exp(coef) lower 95%,exp(coef) upper 95%,cmp to,z,p,-log2(p)
CAPE,0.0002779002739826184,1.000277938891841,0.0008363620001466694,-0.0013613391243427369,0.0019171396723079738,0.9986395870774237,1.0019189785595162,0.0,0.3322727167588726,0.7396833395495863,0.4350203136534567
Earnings_Yield,-0.3342317811767205,0.7158878336715874,0.1813419107858936,-0.6896553952047475,0.021191832851306547,0.5017489443697581,1.0214179743671186,0.0,-1.8431027870404464,0.06531400450513608,3.9364638248961468
Inflation_12m,-0.21572860566658073,0.8059540035444988,0.14655870060100823,-0.5029783804655457,0.07152116913238418,0.604726868166159,1.0741408890913173,0.0,-1.4719604143726739,0.14103156760964772,2.825909972429629
Unemployment_Rate,-0.0031731406803205374,0.9968318884098248,0.0031544079415830755,-0.009355666638370492,0.0030093852777294174,0.9906879614481336,1.00301391802339,0.0,-1.0059385910397058,0.3144451110083329,1.6691198901425492
Unemployment_Change_12m,-0.001755096330621517,0.9982464429502829,0.002076637446892235,-0.005825230935477507,0.0023150382742344734,0.9941917028252705,1.0023177200444076,0.0,-0.8451626128807816,0.3980200535187598,1.3290869747133274
Term_Spread,0.00023688428670595008,1.0002369123460042,0.0031619183667715655,-0.005960361834222027,0.006434130407633928,0.9940573658836838,1.006454873889577,0.0,0.07491790085264523,0.9402800337615926,0.08883761133845129
Credit_Spread,0.008323042459635617,1.0083577752715458,0.009647345596396994,-0.01058540745571358,0.027231492374984814,0.9894704208078384,1.027605658105921,0.0,0.8627287554354882,0.38828661837031964,1.3648061067845267
Real_Rate,0.0015137320305120539,1.0015148783011514,0.0016649871776891012,-0.0017495828724795757,0.004777046933503683,0.9982519467554339,1.0047884752127685,0.0,0.9091553681590628,0.3632681195927573,1.4608933344837447
Commodity_Ret_12m,-0.05956026359501242,0.9421787528015518,0.07319991829280982,-0.20302946712019435,0.08390893993016948,0.8162541884109461,1.087529858754944,0.0,-0.8136657114392275,0.41583648226862413,1.265911760262122
S&P_Ret_12m,0.04491685367893192,1.0459408901560885,0.03545176579806428,-0.02456733047362296,0.1144010378314868,0.9757319902096399,1.1212016790240344,0.0,1.2669849489241647,0.2051606716926911,2.2851738950917415
S&P_Vol_12m,0.14464764867113175,1.1556323099427852,0.12885568401853917,-0.10790485120847845,0.3972001485507419,0.897713008674843,1.487653651978456,0.0,1.1225554369050612,0.2616263506244876,1.9344202405928252
Housing_Starts_12m,0.00041158487792025515,1.0004116695905978,0.01802639499194558,-0.03491950007738628,0.03574266983322679,0.9656831505476107,1.0363891179891764,0.0,0.02283234546364686,0.9817840067961722,0.026522429409496822
Building_Permits_12m,-0.002014610749838379,0.9979874172163156,0.018887007809275994,-0.03903246583174608,0.03500324433206932,0.9617194856165137,1.0356230686993064,0.0,-0.10666648577594919,0.9150535713509705,0.12807188716284953
Sentiment_Change_12m,0.00018359021348085669,1.0001836070671954,0.0003514989452609549,-0.0005053350598344309,0.0008725154867961442,0.9994947926004223,1.0008728962391629,0.0,0.5223065842901982,0.6014568855521634,0.733466771001255
Mfg_Hours_Change_12m,-0.0037780353427853066,0.9962290924535595,0.01009106367539523,-0.023556156712260343,0.01600008602668973,0.9767191237939418,1.0161287728202857,0.0,-0.37439416342175985,0.7081110846480545,0.4979523946076944
CAPE_Unemp_Interaction,-0.0002598141283078371,0.9997402196204599,0.00014123222837520124,-0.0005366242093795674,1.6995952763893235e-05,0.99946351974764,1.0000169960971959,0.0,-1.8396235143837572,0.0658235296843912,3.9252527989607087
Term_Inversion,-0.009478197554454249,0.9905665789813686,0.0047557571782264885,-0.018799310342996,-0.00015708476591249666,0.9813762945529517,0.9998429275712533,0.0,-1.992994427438124,0.04626205729068425,4.434026765195522
